Date;Price;Open;High;Low;Change (%)
23/06/2015;243.8;247.5;247.7;242.3;-1.50
24/06/2015;240.6;243.8;244.5;239.1;-1.31
25/06/2015;242.6;240.6;243.6;239.3;0.83
26/06/2015;242.9;242.6;243.5;240.1;0.16
27/06/2015;250.7;242.9;251.6;241.8;3.20
28/06/2015;248.9;250.7;251.6;246.6;-0.74
29/06/2015;257.0;248.9;257.5;248.0;3.25
30/06/2015;264.1;257.0;268.7;255.4;2.78
01/07/2015;257.6;264.1;265.0;254.4;-2.46
02/07/2015;254.9;257.6;261.3;253.1;-1.06
03/07/2015;255.4;254.9;256.7;252.4;0.20
04/07/2015;260.5;255.4;261.1;253.4;2.02
05/07/2015;270.1;260.5;274.1;257.6;3.68
06/07/2015;269.1;270.1;277.5;266.5;-0.39
07/07/2015;266.2;269.1;271.3;263.2;-1.07
08/07/2015;268.6;266.2;273.6;263.2;0.91
09/07/2015;269.1;268.6;272.3;265.1;0.19
10/07/2015;283.6;269.1;297.9;266.9;5.38
11/07/2015;292.0;283.6;298.8;282.3;2.94
12/07/2015;310.4;292.0;315.9;291.3;6.33
13/07/2015;290.4;310.4;310.9;276.9;-6.47
14/07/2015;287.0;290.4;297.0;285.2;-1.17
15/07/2015;283.4;287.0;292.9;283.2;-1.23
16/07/2015;276.6;283.4;290.8;273.3;-2.41
17/07/2015;279.6;276.6;280.8;271.2;1.10
18/07/2015;274.0;279.6;282.5;243.2;-1.99
19/07/2015;273.2;274.0;277.1;271.9;-0.32
20/07/2015;277.7;273.2;278.9;271.8;1.65
21/07/2015;275.1;277.7;281.0;274.2;-0.93
22/07/2015;276.5;275.1;277.4;273.1;0.50
23/07/2015;275.5;276.5;277.9;274.5;-0.34
24/07/2015;288.4;275.5;289.8;274.3;4.66
25/07/2015;288.7;288.4;291.2;284.7;0.13
26/07/2015;291.8;288.7;293.3;286.8;1.05
27/07/2015;293.0;291.8;295.8;285.4;0.42
28/07/2015;293.7;293.0;296.7;291.7;0.24
29/07/2015;288.4;293.7;294.7;286.9;-1.81
30/07/2015;287.0;288.4;289.9;284.9;-0.47
31/07/2015;283.7;287.0;288.7;280.8;-1.15
01/08/2015;280.5;283.7;284.5;276.3;-1.15
02/08/2015;281.4;280.5;282.5;275.9;0.32
03/08/2015;281.6;281.4;285.0;278.9;0.08
04/08/2015;284.3;281.6;285.7;279.6;0.97
05/08/2015;281.7;284.3;285.5;280.5;-0.91
06/08/2015;278.0;281.7;282.0;276.5;-1.32
07/08/2015;277.9;278.0;279.6;274.3;-0.04
08/08/2015;258.6;277.9;278.9;257.4;-6.94
09/08/2015;263.9;258.6;266.8;258.6;2.04
10/08/2015;263.3;263.9;266.6;260.5;-0.22
11/08/2015;269.0;263.3;269.9;261.4;2.18
12/08/2015;267.7;269.0;271.5;263.7;-0.51
13/08/2015;263.4;267.7;268.4;261.3;-1.58
14/08/2015;265.0;263.4;267.2;260.2;0.60
15/08/2015;260.5;265.0;266.5;259.4;-1.70
16/08/2015;257.1;260.5;261.9;254.6;-1.31
17/08/2015;257.1;257.1;259.9;252.9;0.00
18/08/2015;246.7;257.1;257.5;245.7;-4.05
19/08/2015;226.0;246.7;247.9;214.3;-8.40
20/08/2015;234.7;226.0;238.0;225.5;3.83
21/08/2015;232.4;234.7;236.3;230.5;-0.96
22/08/2015;229.5;232.4;235.1;221.0;-1.23
23/08/2015;226.8;229.5;232.7;224.3;-1.22
24/08/2015;211.4;226.8;228.4;207.8;-6.76
25/08/2015;220.5;211.4;226.6;196.3;4.29
26/08/2015;225.0;220.5;230.7;218.8;2.02
27/08/2015;222.7;225.0;228.4;222.0;-1.00
28/08/2015;231.6;222.7;234.8;219.6;4.00
29/08/2015;228.5;231.6;233.1;226.4;-1.36
30/08/2015;228.4;228.5;232.3;225.4;-0.04
31/08/2015;229.5;228.4;231.8;224.2;0.47
01/09/2015;227.2;229.5;231.4;225.8;-1.00
02/09/2015;228.6;227.2;230.6;225.6;0.64
03/09/2015;226.2;228.6;229.6;225.4;-1.06
04/09/2015;230.3;226.2;231.1;225.8;1.79
05/09/2015;233.7;230.3;235.6;228.3;1.49
06/09/2015;239.9;233.7;243.6;234.7;2.65
07/09/2015;239.6;239.9;242.7;237.5;-0.12
08/09/2015;243.2;239.6;246.4;239.2;1.53
09/09/2015;237.4;243.2;244.3;236.5;-2.40
10/09/2015;238.1;237.4;240.6;234.3;0.28
11/09/2015;239.9;238.1;241.0;237.4;0.76
12/09/2015;235.6;239.9;240.3;233.3;-1.79
13/09/2015;230.2;235.6;236.2;228.3;-2.30
14/09/2015;229.9;230.2;232.6;226.0;-0.12
15/09/2015;229.5;229.9;242.8;228.0;-0.17
16/09/2015;228.6;229.5;230.9;225.1;-0.41
17/09/2015;232.7;228.6;235.2;227.9;1.80
18/09/2015;232.2;232.7;234.7;230.6;-0.22
